"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Arch","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"M6A Double Extra Large","m6a.2xlarge","32.0 GiB","8 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.3456 hourly","$0.2286 hourly","$0.1088 hourly"
"C6GN Double Extra Large","c6gn.2xlarge","16.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.3456 hourly","$0.2181 hourly","$0.0875 hourly"
"R6IN Extra Large","r6in.xlarge","32.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 30 Gigabit","$0.3487 hourly","$0.2197 hourly","$0.1035 hourly"
"M1 General Purpose Extra Large","m1.xlarge","15.0 GiB","4 vCPUs","Intel Xeon Family","unknown","1680 GB                 (4 * 420 GB HDD)","64-bit","High","$0.3500 hourly","$0.2240 hourly","$0.0839 hourly"
"C7I Double Extra Large","c7i.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.3570 hourly","$0.2362 hourly","$0.1258 hourly"
"M6GD Double Extra Large","m6gd.2xlarge","32.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","474 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.3616 hourly","$0.2278 hourly","$0.1710 hourly"
"INF1 Double Extra Large","inf1.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon Platinum 8275CL (Cascade Lake)","unknown","EBS only","64-bit","Up to 25 Gigabit","$0.3620 hourly","$0.2280 hourly","$0.1155 hourly"
"C7GD Double Extra Large","c7gd.2xlarge","16.0 GiB","8 vCPUs","AWS Graviton3 Processor","2.5 GHz","474 GB                 NVMe SSD","64-bit","Up to 15 Gigabit","$0.3629 hourly","$0.2287 hourly","$0.0940 hourly"
"IM4GN Extra Large","im4gn.xlarge","16.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","1875 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.3638 hourly","$0.2333 hourly","$0.0841 hourly"
"T2 Double Extra Large","t2.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   4h 4.8m                   burst","Intel Xeon Family","Up to 3.3 GHz","EBS only","64-bit","Moderate","$0.3712 hourly","$0.2300 hourly","$0.0848 hourly"
"R7IZ Extra Large","r7iz.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.9 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.3720 hourly","$0.2344 hourly","$0.0974 hourly"
"Z1D Extra Large","z1d.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8151","4 GHz","150 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.3720 hourly","$0.2340 hourly","$0.1013 hourly"
"G4AD Extra Large","g4ad.xlarge","16.0 GiB","4 vCPUs","AMD EPYC 7R32","2.8 GHz","150 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.3785 hourly","$0.2385 hourly","$0.1126 hourly"
"M7I-FLEX Double Extra Large","m7i-flex.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.3830 hourly","$0.2534 hourly","$0.1285 hourly"
"M6I Double Extra Large","m6i.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.3840 hourly","$0.2540 hourly","$0.1223 hourly"
"C5 High-CPU Double Extra Large","c5d.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","200 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.3840 hourly","$0.2420 hourly","$0.1386 hourly"
"M5 General Purpose Double Extra Large","m5.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.3840 hourly","$0.2420 hourly","$0.1514 hourly"
"R6IDN Extra Large","r6idn.xlarge","32.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","237 GB                 NVMe SSD","64-bit","Up to 30 Gigabit","$0.3908 hourly","$0.2462 hourly","$0.1586 hourly"
"C4 High-CPU Double Extra Large","c4.2xlarge","15.0 GiB","8 vCPUs","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","EBS only","64-bit","High","$0.3980 hourly","$0.2520 hourly","$0.1506 hourly"
"M4 General Purpose Double Extra Large","m4.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","EBS only","64-bit","High","$0.4000 hourly","$0.2478 hourly","$0.1383 hourly"
"C6ID Double Extra Large","c6id.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","474 GB                 NVMe SSD","64-bit","Up to 12.5 Gigabit","$0.4032 hourly","$0.2541 hourly","$0.1467 hourly"
"M7I Double Extra Large","m7i.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.4032 hourly","$0.2667 hourly","$0.1404 hourly"
"R6G Double Extra Large","r6g.2xlarge","64.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.4032 hourly","$0.2540 hourly","$0.1017 hourly"
"A1 Quadruple Extra Large","a1.4xlarge","32.0 GiB","16 vCPUs","AWS Graviton Processor","2.3 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.4080 hourly","$0.2570 hourly","$0.1242 hourly"
"A1 Metal","a1.metal","32.0 GiB","16 vCPUs","AWS Graviton Processor","2.3 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.4080 hourly","$0.2570 hourly","$0.0805 hourly"
"C7A Double Extra Large","c7a.2xlarge","16.0 GiB","8 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.4106 hourly","$0.2716 hourly","$0.1576 hourly"
"M5AD Double Extra Large","m5ad.2xlarge","32.0 GiB","8 vCPUs","AMD EPYC 7571","2.5 GHz","300 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.4120 hourly","$0.2600 hourly","$0.2419 hourly"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GiB","8 vCPUs","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","160 GB                 (2 * 80 GB SSD)","64-bit","High","$0.4200 hourly","$0.2920 hourly","$0.1329 hourly"
"G5G Extra Large","g5g.xlarge","8.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.4200 hourly","$0.2646 hourly","$0.0862 hourly"
"M7GD Double Extra Large","m7gd.2xlarge","32.0 GiB","8 vCPUs","AWS Graviton3 Processor","2.5 GHz","474 GB                 NVMe SSD","64-bit","Up to 15 Gigabit","$0.4271 hourly","$0.2691 hourly","$0.1408 hourly"
"R7G Double Extra Large","r7g.2xlarge","64.0 GiB","8 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","Up to 15 Gigabit","$0.4284 hourly","$0.2834 hourly","$0.1267 hourly"
"C5N Double Extra Large","c5n.2xlarge","21.0 GiB","8 vCPUs","Intel Xeon Platinum 8124M","3 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.4320 hourly","$0.2720 hourly","$0.1672 hourly"
"M5 General Purpose Double Extra Large","m5d.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","300 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.4520 hourly","$0.2850 hourly","$0.2227 hourly"
"I3EN Extra Large","i3en.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","2500 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.4520 hourly","$0.3080 hourly","$0.1236 hourly"
"R5A Double Extra Large","r5a.2xlarge","64.0 GiB","8 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.4520 hourly","$0.2850 hourly","$0.1999 hourly"
"C6IN Double Extra Large","c6in.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 40 Gigabit","$0.4536 hourly","$0.2858 hourly","$0.1866 hourly"
"R6A Double Extra Large","r6a.2xlarge","64.0 GiB","8 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.4536 hourly","$0.3001 hourly","$0.1740 hourly"
"R6GD Double Extra Large","r6gd.2xlarge","64.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","474 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.4608 hourly","$0.2903 hourly","$0.1808 hourly"
"M7A Double Extra Large","m7a.2xlarge","32.0 GiB","8 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.4637 hourly","$0.3067 hourly","$0.1626 hourly"
"H1 Double Extra Large","h1.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","2000 GB                 HDD","64-bit","Up to 10 Gigabit","$0.4680 hourly","$0.3180 hourly","$0.1956 hourly"
"R8G Double Extra Large","r8g.2xlarge","64.0 GiB","8 vCPUs","AWS Graviton4 Processor","2.7 GHz","EBS only","64-bit","Up to 15 Gigabit","$0.4713 hourly","$0.3118 hourly","$0.1116 hourly"
"M6ID Double Extra Large","m6id.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","474 GB                 NVMe SSD","64-bit","Up to 12.5 Gigabit","$0.4746 hourly","$0.2990 hourly","$0.1423 hourly"
"M5N Double Extra Large","m5n.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.4760 hourly","$0.3000 hourly","$0.2363 hourly"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","4 vCPUs","Intel Xeon Family","unknown","850 GB                 HDD","64-bit","Moderate","$0.4900 hourly","$0.2220 hourly","$0.1254 hourly"
"D3 Extra Large","d3.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","5940 GB                 (3 * 1980 GB NVMe HDD)","64-bit","Up to 15 Gigabit","$0.4990 hourly","$0.3150 hourly","$0.1335 hourly"
"C7GN Double Extra Large","c7gn.2xlarge","16.0 GiB","8 vCPUs","AWS Graviton3 Processor","2.6 GHz","EBS only","64-bit","Up to 50 Gigabit","$0.4992 hourly","$0.3145 hourly","$0.1128 hourly"
"R5 Double Extra Large","r5.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.5040 hourly","$0.3180 hourly","$0.2082 hourly"
"R6I Double Extra Large","r6i.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.5040 hourly","$0.3334 hourly","$0.2299 hourly"
"C1 High-CPU Extra Large","c1.xlarge","7.0 GiB","8 vCPUs","Intel Xeon Family","unknown","1680 GB                 (4 * 420 GB HDD)","64-bit","High","$0.5200 hourly","$0.3640 hourly","$0.1403 hourly"
"R5AD Double Extra Large","r5ad.2xlarge","64.0 GiB","8 vCPUs","AMD EPYC 7571","2.5 GHz","300 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.5240 hourly","$0.3300 hourly","$0.2538 hourly"
"G4DN Extra Large","g4dn.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Family","2.5 GHz","125 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.5260 hourly","$0.3310 hourly","$0.1432 hourly"
"D3EN Extra Large","d3en.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","27960 GB                 (2 * 13980 GB NVMe HDD)","64-bit","Up to 25 Gigabit","$0.5260 hourly","$0.3310 hourly","$0.1169 hourly"
"R7I Double Extra Large","r7i.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.5292 hourly","$0.3501 hourly","$0.2018 hourly"
"R4 High-Memory Double Extra Large","r4.2xlarge","61.0 GiB","8 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.5320 hourly","$0.3360 hourly","$0.2017 hourly"
"M3 General Purpose Double Extra Large","m3.2xlarge","30.0 GiB","8 vCPUs","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","160 GB                 (2 * 80 GB SSD)","64-bit","High","$0.5320 hourly","$0.3800 hourly","$0.2046 hourly"
"G4AD Double Extra Large","g4ad.2xlarge","32.0 GiB","8 vCPUs","AMD EPYC 7R32","2.8 GHz","300 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.5412 hourly","$0.3409 hourly","$0.2084 hourly"
"M5DN Double Extra Large","m5dn.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","300 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.5440 hourly","$0.3430 hourly","$0.2545 hourly"
"C6G Quadruple Extra Large","c6g.4xlarge","32.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.5440 hourly","$0.3427 hourly","$0.1388 hourly"
"R7GD Double Extra Large","r7gd.2xlarge","64.0 GiB","8 vCPUs","AWS Graviton3 Processor","2.5 GHz","474 GB                 NVMe SSD","64-bit","Up to 15 Gigabit","$0.5443 hourly","$0.3421 hourly","$0.2053 hourly"
"G5G Double Extra Large","g5g.2xlarge","16.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.5560 hourly","$0.3503 hourly","$0.2103 hourly"
"M6IN Double Extra Large","m6in.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 40 Gigabit","$0.5569 hourly","$0.3509 hourly","$0.1855 hourly"
"R5D Double Extra Large","r5d.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","300 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.5760 hourly","$0.3630 hourly","$0.3052 hourly"
"IS4GEN Extra Large","is4gen.xlarge","24.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","3750 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.5763 hourly","$0.3931 hourly","$0.1193 hourly"
"C7G Quadruple Extra Large","c7g.4xlarge","32.0 GiB","16 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","Up to 15 Gigabit","$0.5800 hourly","$0.3822 hourly","$0.1488 hourly"
"R5B Double Extra Large","r5b.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.5960 hourly","$0.3755 hourly","$0.3142 hourly"
"R5N Double Extra Large","r5n.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.5960 hourly","$0.3750 hourly","$0.2420 hourly"
"R6ID Double Extra Large","r6id.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","474 GB                 NVMe SSD","64-bit","Up to 12.5 Gigabit","$0.6048 hourly","$0.3801 hourly","$0.2379 hourly"
"R7A Double Extra Large","r7a.2xlarge","64.0 GiB","8 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.6086 hourly","$0.4026 hourly","$0.2356 hourly"
"C6A Quadruple Extra Large","c6a.4xlarge","32.0 GiB","16 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.6120 hourly","$0.4048 hourly","$0.1758 hourly"
"C6GD Quadruple Extra Large","c6gd.4xlarge","32.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","950 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.6144 hourly","$0.3871 hourly","$0.1831 hourly"
"M6G Quadruple Extra Large","m6g.4xlarge","64.0 GiB","16 vCPUs","AWS Graviton2 Processor","unknown","EBS only","64-bit","Up to 10 Gigabit","$0.6160 hourly","$0.3864 hourly","$0.2147 hourly"
"C5A Quadruple Extra Large","c5a.4xlarge","32.0 GiB","16 vCPUs","AMD EPYC 7R32","3.3 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.6160 hourly","$0.3880 hourly","$0.2334 hourly"
"I4G Double Extra Large","i4g.2xlarge","64.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","1875 GB                 NVMe SSD","64-bit","Up to 12 Gigabit","$0.6178 hourly","$0.4009 hourly","$0.1582 hourly"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GiB","8 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","1900 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.6240 hourly","$0.4280 hourly","$0.2609 hourly"
"M6IDN Double Extra Large","m6idn.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","474 GB                 NVMe SSD","64-bit","Up to 40 Gigabit","$0.6365 hourly","$0.4010 hourly","$0.2367 hourly"
"G2 Double Extra Large","g2.2xlarge","15.0 GiB","8 vCPUs","Intel Xeon E5-2670 (Sandy Bridge)","2.6 GHz","EBS only","64-bit","Moderate","$0.6500 hourly","unavailable","unavailable"
"VT1 3xlarge","vt1.3xlarge","24.0 GiB","12 vCPUs","Intel Xeon Platinum 8259CL","2.5 GHz","EBS only","64-bit","3.12 Gigabit","$0.6500 hourly","$0.4095 hourly","$0.2686 hourly"
"M7G Quadruple Extra Large","m7g.4xlarge","64.0 GiB","16 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","Up to 15 Gigabit","$0.6528 hourly","$0.4318 hourly","$0.2290 hourly"
"M5ZN Double Extra Large","m5zn.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Platinum 8252","4.5 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.6607 hourly","$0.4162 hourly","$0.3002 hourly"
"R3 High-Memory Double Extra Large","r3.2xlarge","61.0 GiB","8 vCPUs","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","160 GB                 SSD","64-bit","High","$0.6650 hourly","$0.4180 hourly","$0.2264 hourly"
"R5DN Double Extra Large","r5dn.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","300 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.6680 hourly","$0.4210 hourly","$0.3038 hourly"
"X2GD Double Extra Large","x2gd.2xlarge","128.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","475 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.6680 hourly","$0.4117 hourly","$0.1903 hourly"
"C5 High-CPU Quadruple Extra Large","c5.4xlarge","32.0 GiB","16 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.6800 hourly","$0.4280 hourly","$0.2322 hourly"
"C6I Quadruple Extra Large","c6i.4xlarge","32.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.6800 hourly","$0.4498 hourly","$0.2018 hourly"
"I4I Double Extra Large","i4i.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","1875 GB                 NVMe SSD","64-bit","Up to 12 Gigabit","$0.6860 hourly","$0.4450 hourly","$0.2839 hourly"
"C5AD Quadruple Extra Large","c5ad.4xlarge","32.0 GiB","16 vCPUs","AMD EPYC 7R32","3.3 GHz","600 GB                 (2 * 300 GB NVMe SSD)","64-bit","Up to 10 Gigabit","$0.6880 hourly","$0.4330 hourly","$0.2273 hourly"
"M5A Quadruple Extra Large","m5a.4xlarge","64.0 GiB","16 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.6880 hourly","$0.4330 hourly","$0.2778 hourly"
"D2 Extra Large","d2.xlarge","30.5 GiB","4 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","6144 GB                 (3 * 2048 GB HDD)","64-bit","Moderate","$0.6900 hourly","$0.4020 hourly","$0.1488 hourly"
"C6GN Quadruple Extra Large","c6gn.4xlarge","32.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","25 Gigabit","$0.6912 hourly","$0.4363 hourly","$0.2038 hourly"
"M6A Quadruple Extra Large","m6a.4xlarge","64.0 GiB","16 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.6912 hourly","$0.4572 hourly","$0.2663 hourly"
"R6IN Double Extra Large","r6in.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 40 Gigabit","$0.6973 hourly","$0.4393 hourly","$0.2712 hourly"
"C7I Quadruple Extra Large","c7i.4xlarge","32.0 GiB","16 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.7140 hourly","$0.4723 hourly","$0.2469 hourly"
"M6GD Quadruple Extra Large","m6gd.4xlarge","64.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","950 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.7232 hourly","$0.4556 hourly","$0.3271 hourly"
"C7GD Quadruple Extra Large","c7gd.4xlarge","32.0 GiB","16 vCPUs","AWS Graviton3 Processor","2.5 GHz","950 GB                 NVMe SSD","64-bit","Up to 15 Gigabit","$0.7258 hourly","$0.4574 hourly","$0.1644 hourly"
"IM4GN Double Extra Large","im4gn.2xlarge","32.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","3750 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.7276 hourly","$0.4666 hourly","$0.1411 hourly"
"Z1D Double Extra Large","z1d.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8151","4 GHz","300 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.7440 hourly","$0.4690 hourly","$0.2427 hourly"
"R7IZ Double Extra Large","r7iz.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.9 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.7440 hourly","$0.4687 hourly","$0.2552 hourly"
"G3S Extra Large","g3s.xlarge","30.5 GiB","4 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.7500 hourly","$0.5510 hourly","$0.3506 hourly"
"G4DN Double Extra Large","g4dn.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Family","2.5 GHz","225 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.7520 hourly","$0.4740 hourly","$0.2373 hourly"
"INF2 Extra Large","inf2.xlarge","16.0 GiB","4 vCPUs","AMD EPYC 7R13 Processor","2.95 GHz","EBS only","64-bit","Up to 15 Gigabit","$0.7582 hourly","$0.4777 hourly","$0.1560 hourly"
"M7I-FLEX Quadruple Extra Large","m7i-flex.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.7661 hourly","$0.5067 hourly","$0.2920 hourly"
"M5 General Purpose Quadruple Extra Large","m5.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.7680 hourly","$0.4840 hourly","$0.2605 hourly"
"C5 High-CPU Quadruple Extra Large","c5d.4xlarge","32.0 GiB","16 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","400 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.7680 hourly","$0.4840 hourly","$0.2519 hourly"
"M6I Quadruple Extra Large","m6i.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.7680 hourly","$0.5080 hourly","$0.2804 hourly"
"R6IDN Double Extra Large","r6idn.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","474 GB                 NVMe SSD","64-bit","Up to 40 Gigabit","$0.7816 hourly","$0.4924 hourly","$0.3917 hourly"
"C4 High-CPU Quadruple Extra Large","c4.4xlarge","30.0 GiB","16 vCPUs","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","EBS only","64-bit","High","$0.7960 hourly","$0.5040 hourly","$0.2310 hourly"
"M4 General Purpose Quadruple Extra Large","m4.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","EBS only","64-bit","High","$0.8000 hourly","$0.4956 hourly","$0.2678 hourly"
"G6 Graphics and Machine Learning GPU Extra Large","g6.xlarge","16.0 GiB","4 vCPUs","AMD EPYC 7R13 Processor","2.6 GHz","250 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.8048 hourly","$0.5239 hourly","$0.2958 hourly"
"C6ID Quadruple Extra Large","c6id.4xlarge","32.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","950 GB                 NVMe SSD","64-bit","Up to 12.5 Gigabit","$0.8064 hourly","$0.5082 hourly","$0.2538 hourly"
"M7I Quadruple Extra Large","m7i.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.8064 hourly","$0.5334 hourly","$0.2646 hourly"
"R6G Quadruple Extra Large","r6g.4xlarge","128.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.8064 hourly","$0.5080 hourly","$0.2258 hourly"
"C7A Quadruple Extra Large","c7a.4xlarge","32.0 GiB","16 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.8211 hourly","$0.5432 hourly","$0.2825 hourly"
"M5AD Quadruple Extra Large","m5ad.4xlarge","64.0 GiB","16 vCPUs","AMD EPYC 7571","2.5 GHz","600 GB                 (2 * 300 GB NVMe SSD)","64-bit","Up to 10 Gigabit","$0.8240 hourly","$0.5190 hourly","$0.3489 hourly"
"G5G Quadruple Extra Large","g5g.4xlarge","32.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.8280 hourly","$0.5216 hourly","$0.2200 hourly"
