"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Arch","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"C5 High-CPU Extra Large","c5.xlarge","8.0 GiB","4 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.1700 hourly","$0.1070 hourly","$0.0635 hourly"
"C6I Extra Large","c6i.xlarge","8.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.1700 hourly","$0.1125 hourly","$0.0519 hourly"
"M5A Extra Large","m5a.xlarge","16.0 GiB","4 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.1720 hourly","$0.1080 hourly","$0.0576 hourly"
"C5AD Extra Large","c5ad.xlarge","8.0 GiB","4 vCPUs","AMD EPYC 7R32","3.3 GHz","150 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.1720 hourly","$0.1080 hourly","$0.0687 hourly"
"I4I Large","i4i.large","16.0 GiB","2 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","468 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.1720 hourly","$0.1110 hourly","$0.0507 hourly"
"M6A Extra Large","m6a.xlarge","16.0 GiB","4 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.1728 hourly","$0.1143 hourly","$0.0575 hourly"
"C6GN Extra Large","c6gn.xlarge","8.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.1728 hourly","$0.1091 hourly","$0.0501 hourly"
"R6IN Large","r6in.large","16.0 GiB","2 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.1743 hourly","$0.1098 hourly","$0.0349 hourly"
"M1 General Purpose Large","m1.large","7.5 GiB","2 vCPUs","Intel Xeon Family","unknown","840 GB                 (2 * 420 GB HDD)","64-bit","Moderate","$0.1750 hourly","$0.1120 hourly","$0.0448 hourly"
"C7I Extra Large","c7i.xlarge","8.0 GiB","4 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.1785 hourly","$0.1181 hourly","$0.0612 hourly"
"M6GD Extra Large","m6gd.xlarge","16.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","237 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.1808 hourly","$0.1139 hourly","$0.0750 hourly"
"C7GD Extra Large","c7gd.xlarge","8.0 GiB","4 vCPUs","AWS Graviton3 Processor","2.5 GHz","237 GB                 NVMe SSD","64-bit","Up to 12.5 Gigabit","$0.1814 hourly","$0.1143 hourly","$0.0518 hourly"
"IM4GN Large","im4gn.large","8.0 GiB","2 vCPUs","AWS Graviton2 Processor","2.5 GHz","937 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.1819 hourly","$0.1167 hourly","$0.0551 hourly"
"T2 Extra Large","t2.xlarge","16.0 GiB","4 vCPUs                                                         for a                   5h 24m                   burst","Intel Xeon Family","Up to 3.3 GHz","EBS only","64-bit","Moderate","$0.1856 hourly","$0.1150 hourly","$0.0464 hourly"
"Z1D Large","z1d.large","16.0 GiB","2 vCPUs","Intel Xeon Platinum 8151","4 GHz","75 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.1860 hourly","$0.1170 hourly","$0.0436 hourly"
"R7IZ Large","r7iz.large","16.0 GiB","2 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.9 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.1860 hourly","$0.1172 hourly","$0.0392 hourly"
"M7I-FLEX Extra Large","m7i-flex.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.1915 hourly","$0.1267 hourly","$0.0526 hourly"
"M5 General Purpose Extra Large","m5.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.1920 hourly","$0.1210 hourly","$0.0547 hourly"
"M6I Extra Large","m6i.xlarge","16.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.1920 hourly","$0.1270 hourly","$0.0573 hourly"
"C5 High-CPU Extra Large","c5d.xlarge","8.0 GiB","4 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","100 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.1920 hourly","$0.1210 hourly","$0.0694 hourly"
"R6IDN Large","r6idn.large","16.0 GiB","2 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","118 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.1954 hourly","$0.1231 hourly","$0.0533 hourly"
"C4 High-CPU Extra Large","c4.xlarge","7.5 GiB","4 vCPUs","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","EBS only","64-bit","High","$0.1990 hourly","$0.1260 hourly","$0.0542 hourly"
"M4 General Purpose Extra Large","m4.xlarge","16.0 GiB","4 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","EBS only","64-bit","High","$0.2000 hourly","$0.1239 hourly","$0.0677 hourly"
"M7I Extra Large","m7i.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.2016 hourly","$0.1334 hourly","$0.0579 hourly"
"C6ID Extra Large","c6id.xlarge","8.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","237 GB                 NVMe SSD","64-bit","Up to 12.5 Gigabit","$0.2016 hourly","$0.1270 hourly","$0.0730 hourly"
"R6G Extra Large","r6g.xlarge","32.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.2016 hourly","$0.1270 hourly","$0.0583 hourly"
"A1 Double Extra Large","a1.2xlarge","16.0 GiB","8 vCPUs","AWS Graviton Processor","2.3 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.2040 hourly","$0.1285 hourly","$0.0891 hourly"
"C7A Extra Large","c7a.xlarge","8.0 GiB","4 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.2053 hourly","$0.1358 hourly","$0.0605 hourly"
"M5AD Extra Large","m5ad.xlarge","16.0 GiB","4 vCPUs","AMD EPYC 7571","2.5 GHz","150 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.2060 hourly","$0.1300 hourly","$0.0989 hourly"
"C3 High-CPU Extra Large","c3.xlarge","7.5 GiB","4 vCPUs","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","80 GB                 (2 * 40 GB SSD)","64-bit","Moderate","$0.2100 hourly","$0.1460 hourly","$0.0611 hourly"
"M7GD Extra Large","m7gd.xlarge","16.0 GiB","4 vCPUs","AWS Graviton3 Processor","2.5 GHz","237 GB                 NVMe SSD","64-bit","Up to 12.5 Gigabit","$0.2136 hourly","$0.1345 hourly","$0.0716 hourly"
"R7G Extra Large","r7g.xlarge","32.0 GiB","4 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.2142 hourly","$0.1417 hourly","$0.0676 hourly"
"C5N Extra Large","c5n.xlarge","10.5 GiB","4 vCPUs","Intel Xeon Platinum 8124M","3 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.2160 hourly","$0.1360 hourly","$0.0767 hourly"
"I3EN Large","i3en.large","16.0 GiB","2 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","1250 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.2260 hourly","$0.1540 hourly","$0.0482 hourly"
"R5A Extra Large","r5a.xlarge","32.0 GiB","4 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.2260 hourly","$0.1420 hourly","$0.0745 hourly"
"M5 General Purpose Extra Large","m5d.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","150 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.2260 hourly","$0.1420 hourly","$0.1110 hourly"
"R6A Extra Large","r6a.xlarge","32.0 GiB","4 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.2268 hourly","$0.1500 hourly","$0.0468 hourly"
"C6IN Extra Large","c6in.xlarge","8.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 30 Gigabit","$0.2268 hourly","$0.1429 hourly","$0.0923 hourly"
"INF1 Extra Large","inf1.xlarge","8.0 GiB","4 vCPUs","Intel Xeon Platinum 8275CL (Cascade Lake)","unknown","EBS only","64-bit","Up to 25 Gigabit","$0.2280 hourly","$0.1440 hourly","$0.0607 hourly"
"R6GD Extra Large","r6gd.xlarge","32.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","237 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.2304 hourly","$0.1452 hourly","$0.0847 hourly"
"M7A Extra Large","m7a.xlarge","16.0 GiB","4 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.2318 hourly","$0.1534 hourly","$0.0673 hourly"
"R8G Extra Large","r8g.xlarge","32.0 GiB","4 vCPUs","AWS Graviton4 Processor","2.7 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.2356 hourly","$0.1559 hourly","$0.0536 hourly"
"M6ID Extra Large","m6id.xlarge","16.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","237 GB                 NVMe SSD","64-bit","Up to 12.5 Gigabit","$0.2373 hourly","$0.1495 hourly","$0.0742 hourly"
"M5N Extra Large","m5n.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.2380 hourly","$0.1500 hourly","$0.0713 hourly"
"M2 High Memory Extra Large","m2.xlarge","17.1 GiB","2 vCPUs","Intel Xeon Family","unknown","420 GB                 HDD","64-bit","Moderate","$0.2450 hourly","$0.1110 hourly","$0.0531 hourly"
"C7GN Extra Large","c7gn.xlarge","8.0 GiB","4 vCPUs","AWS Graviton3 Processor","2.6 GHz","EBS only","64-bit","Up to 40 Gigabit","$0.2496 hourly","$0.1572 hourly","$0.0512 hourly"
"R6I Extra Large","r6i.xlarge","32.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.2520 hourly","$0.1667 hourly","$0.0962 hourly"
"R5 Extra Large","r5.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.2520 hourly","$0.1590 hourly","$0.0798 hourly"
"R5AD Extra Large","r5ad.xlarge","32.0 GiB","4 vCPUs","AMD EPYC 7571","2.5 GHz","150 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.2620 hourly","$0.1650 hourly","$0.0981 hourly"
"R7I Extra Large","r7i.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.2646 hourly","$0.1750 hourly","$0.0989 hourly"
"R4 High-Memory Extra Large","r4.xlarge","30.5 GiB","4 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.2660 hourly","$0.1680 hourly","$0.0784 hourly"
"M3 General Purpose Extra Large","m3.xlarge","15.0 GiB","4 vCPUs","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","80 GB                 (2 * 40 GB SSD)","64-bit","High","$0.2660 hourly","$0.1900 hourly","$0.0733 hourly"
"T4G Double Extra Large","t4g.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 5 Gigabit","$0.2688 hourly","$0.1686 hourly","$0.0773 hourly"
"M5DN Extra Large","m5dn.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","150 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.2720 hourly","$0.1710 hourly","$0.1007 hourly"
"C6G Double Extra Large","c6g.2xlarge","16.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.2720 hourly","$0.1714 hourly","$0.0805 hourly"
"R7GD Extra Large","r7gd.xlarge","32.0 GiB","4 vCPUs","AWS Graviton3 Processor","2.5 GHz","237 GB                 NVMe SSD","64-bit","Up to 12.5 Gigabit","$0.2722 hourly","$0.1710 hourly","$0.1028 hourly"
"M6IN Extra Large","m6in.xlarge","16.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 30 Gigabit","$0.2785 hourly","$0.1754 hourly","$0.0930 hourly"
"R5D Extra Large","r5d.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","150 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.2880 hourly","$0.1810 hourly","$0.1469 hourly"
"IS4GEN Large","is4gen.large","12.0 GiB","2 vCPUs","AWS Graviton2 Processor","2.5 GHz","1875 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.2882 hourly","$0.1965 hourly","$0.0771 hourly"
"C7G Double Extra Large","c7g.2xlarge","16.0 GiB","8 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","Up to 15 Gigabit","$0.2900 hourly","$0.1911 hourly","$0.0821 hourly"
"R5N Extra Large","r5n.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.2980 hourly","$0.1880 hourly","$0.1137 hourly"
"R5B Extra Large","r5b.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.2980 hourly","$0.1877 hourly","$0.1348 hourly"
"T3A Double Extra Large","t3a.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","Up to 5 Gigabit","$0.3008 hourly","$0.1886 hourly","$0.0961 hourly"
"R6ID Extra Large","r6id.xlarge","32.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","237 GB                 NVMe SSD","64-bit","Up to 12.5 Gigabit","$0.3024 hourly","$0.1900 hourly","$0.1211 hourly"
"R7A Extra Large","r7a.xlarge","32.0 GiB","4 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.3043 hourly","$0.2013 hourly","$0.1027 hourly"
"C6A Double Extra Large","c6a.2xlarge","16.0 GiB","8 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.3060 hourly","$0.2024 hourly","$0.1137 hourly"
"C6GD Double Extra Large","c6gd.2xlarge","16.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","474 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.3072 hourly","$0.1935 hourly","$0.0675 hourly"
"M6G Double Extra Large","m6g.2xlarge","32.0 GiB","8 vCPUs","AWS Graviton2 Processor","unknown","EBS only","64-bit","Up to 10 Gigabit","$0.3080 hourly","$0.1932 hourly","$0.0863 hourly"
"C5A Double Extra Large","c5a.2xlarge","16.0 GiB","8 vCPUs","AMD EPYC 7R32","3.3 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.3080 hourly","$0.1940 hourly","$0.1206 hourly"
"I4G Extra Large","i4g.xlarge","32.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","937 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.3089 hourly","$0.2004 hourly","$0.0990 hourly"
"I3 High I/O Extra Large","i3.xlarge","30.5 GiB","4 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","950 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.3120 hourly","$0.2140 hourly","$0.1330 hourly"
"M6IDN Extra Large","m6idn.xlarge","16.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","237 GB                 NVMe SSD","64-bit","Up to 30 Gigabit","$0.3182 hourly","$0.2005 hourly","$0.1171 hourly"
"M7G Double Extra Large","m7g.2xlarge","32.0 GiB","8 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","Up to 15 Gigabit","$0.3264 hourly","$0.2159 hourly","$0.0963 hourly"
"M5ZN Extra Large","m5zn.xlarge","16.0 GiB","4 vCPUs","Intel Xeon Platinum 8252","4.5 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.3303 hourly","$0.2081 hourly","$0.1226 hourly"
"T3 Double Extra Large","t3.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","Intel Skylake E5 2686 v5","3.1 GHz","EBS only","64-bit","Up to 5 Gigabit","$0.3328 hourly","$0.2086 hourly","$0.0946 hourly"
"R3 High-Memory Extra Large","r3.xlarge","30.5 GiB","4 vCPUs","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","80 GB                 SSD","64-bit","Moderate","$0.3330 hourly","$0.2090 hourly","$0.0855 hourly"
"R5DN Extra Large","r5dn.xlarge","32.0 GiB","4 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","150 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.3340 hourly","$0.2100 hourly","$0.1293 hourly"
"X2GD Extra Large","x2gd.xlarge","64.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","237 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.3340 hourly","$0.2058 hourly","$0.0861 hourly"
"C5 High-CPU Double Extra Large","c5.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.3400 hourly","$0.2140 hourly","$0.1269 hourly"
"C6I Double Extra Large","c6i.2xlarge","16.0 GiB","8 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.3400 hourly","$0.2249 hourly","$0.1046 hourly"
"I4I Extra Large","i4i.xlarge","32.0 GiB","4 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","937 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.3430 hourly","$0.2230 hourly","$0.1496 hourly"
"C5AD Double Extra Large","c5ad.2xlarge","16.0 GiB","8 vCPUs","AMD EPYC 7R32","3.3 GHz","300 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.3440 hourly","$0.2170 hourly","$0.1434 hourly"
"M5A Double Extra Large","m5a.2xlarge","32.0 GiB","8 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.3440 hourly","$0.2170 hourly","$0.1248 hourly"
